Rank,Geographic Area,"April 1, 2020Estimates Base",2020,2021,2022,Population 2023
390,"Santa Fe city, New Mexico","87,505","87,729","88,300","89,056","89,167"
391,"North Port city, Florida","74,799","75,493","79,798","85,098","88,934"
392,"Westminster city, California","90,919","90,871","90,297","89,497","88,729"
393,"Franklin city, Tennessee","83,548","84,154","85,965","87,421","88,558"
394,"Clifton city, New Jersey","90,314","90,019","89,480","88,646","88,461"
395,"Newton city, Massachusetts","88,950","88,863","88,074","87,852","88,415"
396,"Springdale city, Arkansas","87,320","87,322","87,692","87,802","88,224"
397,"Lawrence city, Massachusetts","89,149","88,877","88,441","87,946","88,172"
398,"Duluth city, Minnesota","86,721","86,722","86,586","86,627","87,680"
399,"Waukegan city, Illinois","89,312","89,119","88,732","88,073","87,642"
400,"Bloomington city, Minnesota","89,981","89,850","89,449","87,762","87,398"
401,"Troy city, Michigan","87,297","87,093","87,662","87,304","87,339"
402,"Deerfield Beach city, Florida","86,850","86,764","86,497","86,750","87,325"
403,"Mission city, Texas","85,786","85,853","86,103","86,621","87,292"
404,"Ogden city, Utah","87,344","87,297","86,633","86,804","87,267"
405,"Melbourne city, Florida","84,714","85,066","86,038","86,548","86,960"
406,"Santa Barbara city, California","88,801","88,762","88,250","87,316","86,499"
407,"Citrus Heights city, California","87,578","87,544","87,244","86,527","86,239"
408,"Danbury city, Connecticut","86,511","85,732","86,599","86,433","86,124"
409,"Lake Forest city, California","85,868","85,927","85,970","85,923","85,840"
410,"Frederick city, Maryland","78,190","78,360","79,962","82,292","85,793"
411,"San Leandro city, California","90,999","90,724","88,373","86,521","85,784"
412,"Sioux City city, Iowa","85,784","85,776","85,784","85,402","85,727"
413,"Kennewick city, Washington","83,927","83,984","84,703","84,787","85,158"
414,"Medford city, Oregon","85,988","86,110","86,790","85,708","85,098"
415,"San Ramon city, California","86,331","86,377","86,249","85,490","84,929"
416,"Folsom city, California","80,462","80,804","81,689","83,241","84,782"
417,"Warner Robins city, Georgia","80,365","80,587","81,615","82,182","84,537"
418,"South Jordan city, Utah","77,486","77,954","80,080","83,423","84,528"
419,"Whittier city, California","87,299","87,081","85,847","84,940","84,143"
420,"Baytown city, Texas","85,539","85,369","84,323","84,370","84,067"
421,"Gastonia city, North Carolina","80,409","80,528","81,336","82,553","83,942"
422,"Auburn city, Washington","87,184","87,043","85,866","84,855","83,870"
423,"New Rochelle city, New York","79,736","80,192","81,433","82,375","83,742"
424,"Layton city, Utah","81,779","82,046","83,425","82,588","83,516"
425,"Hawthorne city, California","88,077","87,784","85,928","84,433","83,364"
426,"Longview city, Texas","81,648","81,654","81,610","82,600","83,236"
427,"Warwick city, Rhode Island","82,829","82,855","83,041","82,951","82,999"
428,"Livermore city, California","87,970","87,875","86,048","84,111","82,908"
429,"Newport Beach city, California","85,234","85,164","84,404","83,446","82,637"
430,"Cranston city, Rhode Island","82,930","82,823","82,603","82,359","82,635"
431,"Rancho Cordova city, California","79,332","79,628","80,828","81,618","82,605"
432,"Westland city, Michigan","85,407","85,169","84,424","83,406","82,574"
433,"Farmington Hills city, Michigan","83,999","83,778","83,422","82,878","82,528"
434,"Daytona Beach city, Florida","71,586","72,277","75,360","78,295","82,485"
435,"Largo city, Florida","82,651","82,597","82,547","82,552","82,248"
436,"Auburn city, Alabama","76,566","77,047","79,269","80,377","82,025"
437,"Brooklyn Park city, Minnesota","86,461","86,211","84,487","83,342","82,017"
438,"Buena Park city, California","84,016","83,859","83,024","82,366","81,958"
439,"Mountain View city, California","82,533","82,766","82,262","81,853","81,785"
440,"Homestead city, Florida","80,738","80,519","80,685","81,521","81,659"
441,"Castle Rock town, Colorado","73,160","73,886","76,645","80,149","81,415"
442,"Kissimmee city, Florida","79,229","79,213","79,591","80,043","81,269"
443,"Boynton Beach city, Florida","80,387","80,657","80,261","80,892","81,267"
444,"Johns Creek city, Georgia","82,446","82,585","82,181","82,387","81,108"
445,"Cicero town, Illinois","85,269","84,896","83,219","81,738","81,004"
446,"Redwood City city, California","84,306","83,887","81,616","81,237","80,996"
447,"Jonesboro city, Arkansas","78,579","78,861","78,861","79,740","80,650"
448,"Perris city, California","78,702","78,831","79,559","79,836","80,603"
449,"Pharr city, Texas","79,719","79,833","79,619","80,170","80,410"
450,"Somerville city, Massachusetts","81,030","80,879","80,246","80,178","80,407"
451,"Redmond city, Washington","73,253","73,354","76,474","76,712","80,280"
452,"Leander city, Texas","59,225","60,860","67,107","74,393","80,067"
453,"Pasco city, Washington","77,349","77,687","78,764","79,457","80,038"
454,"Alhambra city, California","82,868","82,652","81,261","80,323","79,776"
455,"Flint city, Michigan","81,269","81,113","80,582","79,846","79,661"
456,"Lake Charles city, Louisiana","84,938","84,879","80,456","79,072","79,633"
457,"Miami Beach city, Florida","82,895","82,470","80,872","80,004","79,607"
458,"Woodbury city, Minnesota","75,106","75,478","77,103","78,593","79,538"
459,"Lynchburg city, Virginia","79,007","78,979","79,114","79,228","79,535"
460,"Flower Mound town, Texas","75,977","76,490","77,552","78,564","79,445"
461,"Rapid City city, South Dakota","74,719","74,928","76,743","78,716","79,404"
462,"Doral city, Florida","75,870","76,207","76,138","76,935","79,359"
463,"Loveland city, Colorado","76,364","76,366","77,005","77,858","79,352"
464,"Parma city, Ohio","81,123","80,960","80,155","79,360","78,951"
465,"Bloomington city, Indiana","79,148","79,077","79,375","79,044","78,840"
466,"Upland city, California","79,040","79,046","79,290","79,120","78,699"
467,"Bloomington city, Illinois","78,696","78,685","78,815","78,764","78,587"
468,"Mansfield city, Texas","72,596","72,763","74,442","76,742","78,542"
469,"Bethlehem city, Pennsylvania","75,792","75,699","77,935","77,686","78,300"
470,"Lakewood city, California","82,498","82,224","80,485","79,108","78,135"
471,"Missoula city, Montana","74,131","74,398","75,393","76,928","77,757"
472,"Tustin city, California","79,967","79,902","79,224","78,393","77,704"
473,"Plymouth city, Minnesota","81,018","80,953","79,836","78,698","77,648"
474,"Cedar Park city, Texas","77,598","78,027","78,913","77,795","77,516"
475,"Napa city, California","79,302","79,334","79,173","78,092","77,492"
476,"Wyoming city, Michigan","76,510","76,759","76,837","76,655","77,451"
477,"Milpitas city, California","80,272","79,792","77,403","76,882","77,321"
478,"Chino Hills city, California","78,429","78,456","78,381","77,784","77,212"
479,"Broomfield city, Colorado","74,105","74,490","75,411","76,195","76,860"
480,"Missouri City city, Texas","74,251","74,434","75,072","76,514","76,773"
481,"Racine city, Wisconsin","77,841","77,692","77,097","76,509","76,602"
482,"Flagstaff city, Arizona","76,848","77,095","74,791","75,978","76,586"
483,"Queen Creek town, Arizona","59,531","60,915","66,333","70,731","76,570"
484,"Lakeville city, Minnesota","69,497","70,030","72,734","74,517","76,243"
485,"Bowling Green city, Kentucky","72,311","72,470","73,195","75,018","76,212"
486,"Hammond city, Indiana","77,854","77,763","77,194","76,576","76,193"
487,"Rochester Hills city, Michigan","76,308","76,128","76,107","76,039","76,002"
488,"Scranton city, Pennsylvania","76,335","76,174","76,167","75,868","75,805"
489,"Pittsburg city, California","76,409","76,354","75,926","75,528","75,803"
490,"Schaumburg village, Illinois","78,718","78,419","77,084","76,062","75,750"
491,"Southfield city, Michigan","76,607","76,391","75,976","75,557","75,687"
492,"Iowa City city, Iowa","74,825","74,916","75,191","75,835","75,678"
493,"Rock Hill city, South Carolina","74,416","74,701","74,748","75,361","75,654"
494,"Alameda city, California","78,282","78,109","76,641","75,637","75,353"
495,"Pawtucket city, Rhode Island","75,608","75,482","75,300","75,078","75,321"
496,"Bellflower city, California","79,212","78,965","77,350","76,047","75,122"
497,"Bismarck city, North Dakota","73,626","73,745","74,082","74,536","75,092"
498,"Evanston city, Illinois","78,104","77,814","76,586","75,369","75,070"
499,"Apple Valley town, California","75,786","75,858","75,840","75,345","75,036"
500,"Appleton city, Wisconsin","75,674","75,705","74,852","74,549","74,719"
501,"Pleasanton city, California","79,856","79,665","77,718","75,830","74,653"
502,"Arlington Heights village, Illinois","77,689","77,420","76,071","75,035","74,495"
503,"Ankeny city, Iowa","68,062","68,527","70,627","72,433","74,458"
504,"Bolingbrook village, Illinois","73,947","73,822","73,696","74,062","74,088"
505,"New Britain city, Connecticut","74,155","72,755","73,370","73,424","74,080"
506,"Rogers city, Arkansas","69,912","70,348","71,426","72,999","74,035"
507,"Lauderhill city, Florida","74,478","74,316","73,600","73,625","73,974"
508,"Noblesville city, Indiana","69,846","70,152","71,451","73,092","73,916"
509,"Blaine city, Minnesota","70,216","70,467","71,019","71,762","73,774"
510,"Rocklin city, California","71,601","71,772","72,764","73,155","73,472"
511,"Johnson City city, Tennessee","71,062","71,121","71,143","72,515","73,337"
512,"Kalamazoo city, Michigan","73,573","73,513","72,300","72,801","73,126"
513,"Lake Elsinore city, California","70,246","70,563","72,194","72,783","73,028"
514,"Marysville city, Washington","70,718","70,981","71,463","72,336","72,916"
515,"Jacksonville city, North Carolina","72,732","74,922","72,073","72,192","72,879"
516,"Greenville city, South Carolina","70,796","71,114","72,377","72,381","72,824"
517,"Gulfport city, Mississippi","72,922","72,871","72,170","72,025","72,823"
518,"Redlands city, California","73,170","73,235","73,306","72,886","72,556"
519,"Tamarac city, Florida","71,903","71,911","71,699","71,901","72,372"
520,"Apex town, North Carolina","64,213","65,101","68,153","70,841","72,225"
521,"West Des Moines city, Iowa","68,728","68,919","69,917","70,757","72,205"
522,"Turlock city, California","72,697","72,747","72,236","72,192","72,100"
523,"Framingham city, Massachusetts","72,377","72,197","71,893","71,756","71,875"
524,"St. Charles city, Missouri","70,577","70,780","71,082","71,224","71,800"
525,"Wilmington city, Delaware","70,892","70,837","70,708","71,606","71,675"
526,"San Marcos city, Texas","67,778","68,217","69,332","70,385","71,569"
527,"Harlingen city, Texas","71,824","71,879","72,013","71,654","71,510"
528,"Maple Grove city, Minnesota","70,266","70,296","70,616","70,581","71,288"
529,"Dothan city, Alabama","71,048","71,079","71,044","71,211","71,258"
530,"Lafayette city, Indiana","70,792","70,746","70,843","71,208","71,216"
531,"Mount Vernon city, New York","73,906","73,556","72,851","71,824","71,168"
532,"Camden city, New Jersey","71,775","71,738","71,543","70,823","71,100"
533,"Tulare city, California","68,909","69,333","70,504","70,718","71,092"
534,"Maricopa city, Arizona","58,143","58,854","62,461","66,307","71,022"
535,"St. Cloud city, Minnesota","69,606","69,597","69,787","69,991","71,013"
536,"North Richland Hills city, Texas","69,915","70,293","70,278","70,693","70,658"
537,"St. Joseph city, Missouri","72,477","72,144","71,381","70,636","70,634"
538,"Eau Claire city, Wisconsin","69,438","69,510","69,122","69,702","70,542"
539,"Eastvale city, California","69,750","70,041","70,989","70,724","70,510"
540,"Waukesha city, Wisconsin","71,163","71,183","70,729","70,436","70,446"
541,"Bayonne city, New Jersey","71,688","71,601","69,554","69,496","70,300"
542,"Conway city, Arkansas","64,142","64,348","65,940","67,616","69,580"
543,"Gaithersburg city, Maryland","69,640","69,484","69,177","68,984","69,563"
544,"East Orange city, New Jersey","69,615","69,375","68,894","68,936","69,556"
545,"Camarillo city, California","70,738","70,725","70,568","69,901","69,514"
546,"Shawnee city, Kansas","67,313","67,446","67,675","69,180","69,417"
547,"Grand Junction city, Colorado","65,609","65,725","66,855","68,016","69,412"
548,"Canton city, Ohio","70,768","70,634","70,184","69,545","69,197"
549,"Walnut Creek city, California","70,112","70,196","70,021","69,369","69,152"
550,"Dublin city, California","72,586","72,311","70,830","69,842","69,128"
551,"Portland city, Maine","68,405","68,493","68,450","68,361","69,104"
552,"Passaic city, New Jersey","70,535","70,304","69,722","69,084","68,903"
553,"Baldwin Park city, California","72,173","71,944","70,503","69,455","68,806"
554,"Decatur city, Illinois","71,100","70,927","70,088","69,201","68,670"
555,"Yuba City city, California","70,223","70,084","69,735","69,223","68,666"
556,"Schenectady city, New York","67,049","68,350","68,919","68,603","68,544"
557,"Ocala city, Florida","63,600","63,808","64,310","65,502","68,426"
558,"Caldwell city, Idaho","60,068","60,641","63,851","65,867","68,336"
559,"Jackson city, Tennessee","68,215","68,199","67,867","68,305","68,264"
560,"Commerce City city, Colorado","62,428","62,782","64,422","66,115","68,245"
561,"Weston city, Florida","68,115","68,005","67,475","67,673","68,181"
562,"Madera city, California","66,281","66,522","67,529","67,594","68,079"
563,"Idaho Falls city, Idaho","65,599","65,905","67,168","67,760","68,001"
564,"Redondo Beach city, California","71,569","71,339","69,838","68,611","67,749"
565,"Lodi city, California","66,336","66,438","67,181","67,559","67,679"
566,"Gary city, Indiana","69,089","69,009","68,526","67,977","67,652"
567,"Delray Beach city, Florida","66,844","66,811","66,661","67,056","67,536"
568,"Haverhill city, Massachusetts","67,774","67,672","67,407","67,149","67,415"
569,"Eagan city, Minnesota","68,859","68,740","68,715","67,534","67,396"
570,"Rockville city, Maryland","67,104","67,334","67,227","66,947","67,297"
571,"Alpharetta city, Georgia","65,813","65,964","66,218","67,204","67,056"
572,"Albany city, Georgia","69,652","69,100","66,258","67,077","66,877"
573,"Rowlett city, Texas","62,553","62,766","63,724","64,983","66,813"
574,"Waterloo city, Iowa","67,319","67,275","66,897","66,525","66,606"
575,"St. Cloud city, Florida","58,963","59,435","62,132","64,501","66,448"
576,"Novi city, Michigan","66,239","66,160","66,628","66,472","66,314"
577,"Greenwood city, Indiana","63,827","63,981","64,882","65,366","66,296"
578,"Oshkosh city, Wisconsin","66,801","66,774","65,382","65,931","66,184"
579,"Yorba Linda city, California","68,316","68,223","67,568","66,816","66,147"
580,"Janesville city, Wisconsin","65,614","65,670","65,816","65,821","66,102"
581,"Port Orange city, Florida","62,619","62,729","63,327","64,893","65,966"
582,"Palo Alto city, California","68,587","68,357","66,827","66,132","65,882"
583,"Davis city, California","66,859","66,897","67,171","66,747","65,832"
584,"Victoria city, Texas","65,528","65,525","65,180","65,367","65,800"
585,"Ames city, Iowa","66,428","66,487","67,024","65,582","65,686"
586,"Union City city, California","70,143","69,927","68,125","66,463","65,414"
587,"Sanford city, Florida","61,084","61,102","61,072","63,126","65,394"
588,"Lorain city, Ohio","65,212","65,226","65,357","65,326","65,337"
589,"Pflugerville city, Texas","65,176","65,488","66,494","65,604","65,301"
590,"Cheyenne city, Wyoming","65,156","65,249","65,108","64,583","65,168"
591,"Malden city, Massachusetts","66,271","66,076","65,339","65,069","65,133"
592,"Brentwood city, California","64,293","64,453","64,827","64,836","65,126"
593,"Sammamish city, Washington","67,457","67,444","66,750","65,854","65,116"
594,"Muncie city, Indiana","65,205","65,107","65,202","65,160","65,081"
595,"Skokie village, Illinois","67,823","67,685","66,451","65,355","64,937"
596,"Palatine village, Illinois","67,903","67,678","66,436","65,347","64,869"
597,"Burnsville city, Minnesota","64,324","64,517","64,027","63,934","64,772"
598,"Huntersville town, North Carolina","61,406","61,606","61,933","63,642","64,688"
599,"North Little Rock city, Arkansas","64,602","64,666","64,185","64,595","64,531"
600,"Waltham city, Massachusetts","65,206","65,091","64,560","64,373","64,477"
601,"Union City city, New Jersey","68,637","68,138","65,958","64,735","64,462"
602,"Bellevue city, Nebraska","65,068","65,177","64,743","63,851","63,922"
603,"Richland city, Washington","60,594","60,908","62,142","62,865","63,757"
604,"Casa Grande city, Arizona","53,660","54,123","57,414","60,048","63,743"
605,"Hendersonville city, Tennessee","61,788","62,119","62,433","62,966","63,618"
606,"Utica city, New York","65,286","65,160","64,566","64,028","63,607"
607,"Moore city, Oklahoma","62,808","63,054","63,074","63,200","63,470"
608,"Coon Rapids city, Minnesota","63,627","63,589","63,489","62,826","63,377"
609,"Kenner city, Louisiana","66,463","66,293","65,420","63,999","63,333"
610,"Lynwood city, California","67,253","66,804","64,809","63,818","63,234"
611,"South San Francisco city, California","66,096","65,902","63,816","63,073","63,123"
612,"Hamilton city, Ohio","63,385","63,409","63,065","62,936","62,997"
613,"Laguna Niguel city, California","64,347","64,536","64,433","63,635","62,899"
614,"Porterville city, California","62,810","62,831","62,975","62,836","62,876"
615,"Marietta city, Georgia","61,073","61,051","61,406","62,614","62,769"
616,"Parker town, Colorado","58,523","58,879","60,477","61,218","62,743"
617,"Bossier City city, Louisiana","62,716","62,704","62,919","62,563","62,738"
618,"Kyle city, Texas","45,710","46,458","51,678","57,358","62,548"
619,"Council Bluffs city, Iowa","62,792","62,790","62,580","62,322","62,399"
620,"San Clemente city, California","64,283","64,213","63,634","62,933","62,313"
621,"Lakewood city, Washington","63,606","63,614","63,448","62,575","62,303"
622,"Millcreek city, Utah","63,888","63,670","64,216","63,001","62,205"
623,"Eden Prairie city, Minnesota","64,198","64,176","63,122","62,486","62,166"
624,"Chapel Hill town, North Carolina","62,270","56,878","61,499","61,951","62,043"
625,"Pontiac city, Michigan","61,603","61,827","62,134","61,961","61,689"
626,"Wellington village, Florida","61,620","61,582","61,361","61,469","61,634"
627,"Bristol city, Connecticut","60,847","60,727","61,099","61,317","61,601"
628,"Santa Cruz city, California","62,969","62,941","55,003","61,709","61,501"
629,"Shoreline city, Washington","58,606","58,815","58,107","59,684","61,353"
630,"Jupiter town, Florida","61,037","61,120","61,076","61,153","61,291"
631,"White Plains city, New York","59,553","59,443","59,585","59,395","61,288"
632,"Taylor city, Michigan","63,390","63,198","62,513","61,775","61,241"
633,"Palm Beach Gardens city, Florida","59,169","59,236","59,534","60,191","61,146"
634,"Woodland city, California","61,050","60,969","61,434","61,791","61,123"
635,"Corvallis city, Oregon","59,916","59,943","60,299","60,983","61,087"
636,"Springfield city, Oregon","61,865","61,859","61,902","61,399","61,085"
637,"Wylie city, Texas","57,516","57,879","59,460","60,960","61,078"
638,"La Habra city, California","63,118","63,002","62,318","61,607","60,991"
639,"Dearborn Heights city, Michigan","63,291","63,096","62,394","61,493","60,872"
640,"Madison city, Alabama","56,968","57,300","58,335","59,791","60,854"
641,"Encinitas city, California","62,001","61,997","61,740","61,281","60,841"
642,"Vineland city, New Jersey","60,788","60,644","60,561","60,468","60,797"
643,"Stonecrest city, Georgia","59,188","59,266","59,976","60,985","60,677"
644,"Blue Springs city, Missouri","58,743","58,903","59,605","59,611","60,539"
645,"La Mesa city, California","61,118","61,097","60,836","60,605","60,537"
646,"Great Falls city, Montana","60,473","60,446","60,398","60,520","60,422"
647,"Taunton city, Massachusetts","59,392","59,467","59,683","59,883","60,412"
648,"Owensboro city, Kentucky","60,234","60,272","60,031","60,044","60,140"
649,"Meriden city, Connecticut","60,830","60,617","60,438","60,258","60,111"
650,"Herriman city, Utah","55,177","56,212","58,137","59,123","60,049"
651,"Burlington city, North Carolina","57,318","57,496","59,230","59,459","60,032"
652,"Montebello city, California","62,629","62,433","61,175","60,356","60,015"
653,"Hanford city, California","58,997","59,135","59,564","59,600","59,938"
654,"Kokomo city, Indiana","59,607","59,575","59,663","59,649","59,890"
655,"Euless city, Texas","61,026","61,076","60,534","60,177","59,686"
656,"San Rafael city, California","61,281","61,137","60,914","60,084","59,555"
657,"Santee city, California","60,047","59,864","59,176","59,172","59,478"
658,"Bentonville city, Arkansas","54,219","54,822","56,932","57,873","59,471"
659,"St. Peters city, Missouri","57,732","57,708","58,209","58,523","59,413"
660,"Kannapolis city, North Carolina","53,128","55,302","56,285","57,580","59,321"
661,"Lake Havasu City city, Arizona","57,139","57,376","58,239","58,907","59,257"
662,"Pico Rivera city, California","62,077","61,881","60,709","59,830","59,189"
663,"Weymouth Town city, Massachusetts","57,442","57,466","57,660","57,459","59,114"
664,"Apopka city, Florida","54,904","54,922","55,619","56,973","59,113"
665,"Youngstown city, Ohio","60,047","59,890","59,193","59,217","59,108"
666,"North Miami city, Florida","60,193","59,839","59,045","58,878","59,008"
667,"Grand Forks city, North Dakota","59,169","59,142","58,724","58,694","58,921"
668,"Dubuque city, Iowa","59,677","59,654","59,277","58,906","58,877"
669,"West Allis city, Wisconsin","60,334","60,257","59,503","58,915","58,874"
670,"Petaluma city, California","59,785","59,733","59,353","58,794","58,800"
671,"Medford city, Massachusetts","59,654","59,496","58,854","58,691","58,744"
672,"Casper city, Wyoming","59,096","59,309","58,742","58,484","58,720"
673,"Margate city, Florida","58,704","58,607","58,128","58,206","58,593"
674,"Lenexa city, Kansas","57,417","57,548","58,530","58,607","58,536"
675,"Terre Haute city, Indiana","58,416","58,400","58,369","58,380","58,502"
676,"Little Elm city, Texas","46,463","47,201","51,233","55,348","58,496"
677,"Beaumont city, California","53,046","53,304","54,489","55,995","58,463"
678,"Marana town, Arizona","51,904","52,622","54,682","55,965","58,430"
679,"Gardena city, California","61,021","60,823","59,633","58,831","58,377"
680,"Lacey city, Washington","56,285","56,722","57,085","58,157","58,326"
681,"Decatur city, Alabama","57,945","57,748","57,578","57,929","58,321"
682,"Gilroy city, California","59,534","59,398","58,099","57,759","58,250"
683,"Hempstead village, New York","59,183","58,867","58,740","58,413","58,225"
684,"Midwest City city, Oklahoma","58,405","58,464","58,164","57,997","58,086"
685,"Springfield city, Ohio","58,654","58,598","58,476","58,069","58,082"
686,"Pocatello city, Idaho","56,327","56,436","57,388","57,824","58,064"
687,"Carson City, Nevada","58,646","58,686","58,764","58,065","58,036"
688,"Des Plaines city, Illinois","60,676","60,455","59,422","58,462","58,010"
689,"Revere city, Massachusetts","62,208","61,876","59,521","58,476","57,954"
690,"Brookhaven city, Georgia","56,795","56,809","57,059","57,841","57,945"
691,"Monterey Park city, California","61,110","60,898","59,596","58,580","57,877"
692,"Westfield city, Indiana","46,438","47,015","50,745","54,664","57,746"
693,"Coconut Creek city, Florida","57,827","57,725","57,244","57,342","57,694"
694,"Spring Hill city, Tennessee","50,680","51,304","54,188","56,006","57,637"
695,"Sarasota city, Florida","54,848","55,188","56,181","57,498","57,602"
696,"St. Clair Shores city, Michigan","58,875","58,737","58,275","57,758","57,548"
697,"Royal Oak city, Michigan","58,200","58,040","57,875","57,598","57,452"
698,"Smyrna town, Tennessee","53,089","53,495","55,527","56,516","57,418"
699,"Bozeman city, Montana","53,542","53,841","55,386","56,368","57,305"
700,"Cupertino city, California","60,365","60,111","58,515","57,661","57,285"
701,"Bowie city, Maryland","58,340","58,242","57,737","57,192","57,254"
702,"Lancaster city, Pennsylvania","58,056","57,949","57,672","57,306","57,153"
703,"Winter Haven city, Florida","50,230","50,625","52,765","55,105","57,109"
704,"Taylorsville city, Utah","60,435","60,371","59,249","57,863","57,098"
705,"Bradenton city, Florida","55,714","55,815","56,348","56,986","57,076"
706,"Orland Park village, Illinois","58,724","58,543","57,911","57,377","57,074"
707,"Albany city, Oregon","56,469","56,676","57,007","56,961","57,053"
708,"Hoboken city, New Jersey","60,056","59,909","58,248","57,187","57,010"
709,"Eagle Mountain city, Utah","43,618","44,616","49,655","54,122","56,932"
710,"Coeur d'Alene city, Idaho","54,642","54,942","56,130","56,660","56,894"
711,"Kettering city, Ohio","57,869","57,829","57,558","56,990","56,876"
712,"Southaven city, Mississippi","54,642","54,843","55,549","56,186","56,851"
713,"Kingsport city, Tennessee","55,446","55,422","55,604","56,115","56,704"
714,"Texas City city, Texas","51,907","52,287","54,324","55,681","56,609"
715,"Smyrna city, Georgia","56,201","56,167","56,303","56,449","56,566"
716,"Bonita Springs city, Florida","53,643","53,862","54,875","56,380","56,229"
717,"Highland city, California","56,994","57,009","56,926","56,523","56,202"
718,"Bartlett city, Tennessee","57,792","57,670","57,048","56,502","56,030"
719,"New Brunswick city, New Jersey","55,255","55,288","56,296","55,845","55,846"
720,"West Sacramento city, California","53,919","53,815","53,977","54,882","55,842"
721,"DeSoto city, Texas","56,133","56,062","55,721","56,022","55,740"
722,"Oak Lawn village, Illinois","58,368","58,147","57,094","56,163","55,734"
723,"Olympia city, Washington","55,369","55,608","56,019","55,748","55,733"
724,"Tigard city, Oregon","54,814","55,017","55,888","55,750","55,590"
725,"Port Arthur city, Texas","56,027","56,002","56,176","55,614","55,547"
726,"Fountain Valley city, California","57,052","56,973","56,397","55,836","55,468"
727,"San Jacinto city, California","53,894","54,197","55,328","55,447","55,440"
728,"Apple Valley city, Minnesota","56,367","56,271","55,859","55,417","55,336"
729,"Logan city, Utah","52,806","52,835","54,467","54,704","55,250"
730,"Perth Amboy city, New Jersey","55,447","55,383","55,459","55,208","55,249"
731,"National City city, California","56,163","56,213","55,794","55,769","55,236"
732,"Burleson city, Texas","47,643","48,003","51,505","53,468","55,220"
733,"Anderson city, Indiana","54,762","54,734","54,860","54,948","55,199"
734,"Valdosta city, Georgia","55,389","55,413","55,167","55,047","55,025"
735,"Twin Falls city, Idaho","51,811","52,083","53,513","54,368","54,943"
736,"Chicopee city, Massachusetts","55,563","55,448","55,222","54,939","54,838"
737,"West Haven city, Connecticut","55,580","55,370","55,119","55,019","54,790"
738,"Plainfield city, New Jersey","54,598","54,340","55,010","54,501","54,670"
739,"Lincoln city, California","49,747","49,970","51,333","52,825","54,538"
740,"Berwyn city, Illinois","57,233","56,993","55,873","54,901","54,414"
741,"Wake Forest town, North Carolina","47,980","49,982","51,167","52,485","54,337"
742,"Mount Prospect village, Illinois","56,853","56,693","55,630","54,722","54,298"
743,"Rocky Mount city, North Carolina","54,336","54,312","53,918","54,049","54,245"
744,"Arcadia city, California","56,665","56,502","55,497","54,731","54,157"
745,"Peabody city, Massachusetts","54,492","54,391","54,145","53,893","54,056"
746,"Kentwood city, Michigan","54,309","54,277","54,188","54,030","53,987"
747,"Yucaipa city, California","54,550","54,589","54,574","54,217","53,947"
748,"Tinley Park village, Illinois","56,004","55,824","54,946","54,191","53,886"
749,"Pensacola city, Florida","54,316","54,476","53,968","53,880","53,724"
750,"Mooresville town, North Carolina","50,282","50,547","51,731","52,705","53,721"
751,"Manhattan city, Kansas","54,109","54,158","54,423","53,812","53,682"
752,"Elkhart city, Indiana","53,918","53,867","53,875","53,802","53,484"
753,"Pinellas Park city, Florida","53,099","53,381","53,310","53,627","53,456"
754,"Methuen Town city, Massachusetts","53,041","52,993","52,888","53,235","53,455"
755,"Colton city, California","53,891","53,975","54,098","53,735","53,357"
756,"Edina city, Minnesota","53,481","53,366","53,339","52,438","53,348"
757,"Galveston city, Texas","53,695","53,650","53,381","53,131","53,237"
758,"Elyria city, Ohio","52,667","52,683","52,794","52,878","53,117"
759,"Joplin city, Missouri","51,765","51,803","51,947","52,499","53,095"
760,"Wheaton city, Illinois","53,927","53,814","53,441","53,033","52,938"
761,"Rockwall city, Texas","47,314","47,745","49,784","51,556","52,918"
762,"Grand Island city, Nebraska","53,139","53,029","52,467","52,518","52,622"
763,"Normal town, Illinois","52,744","52,752","52,805","52,776","52,618"
764,"Saratoga Springs city, Utah","37,694","38,294","44,110","49,313","52,532"
765,"Minnetonka city, Minnesota","53,790","54,082","53,207","52,550","52,463"
766,"Cathedral City city, California","51,500","51,628","52,313","52,361","52,356"
767,"Placentia city, California","52,732","52,671","52,225","52,029","52,192"
768,"Battle Creek city, Michigan","52,708","52,655","52,460","52,175","52,175"
769,"Oak Park village, Illinois","54,574","54,372","53,297","52,431","52,055"
770,"Diamond Bar city, California","55,068","54,886","53,711","52,744","52,041"
771,"Palm Desert city, California","51,164","51,197","51,668","51,781","51,951"
772,"Huntington Park city, California","54,886","54,701","53,526","52,591","51,942"
773,"Summerville town, South Carolina","50,985","51,101","51,374","51,646","51,884"
774,"Novato city, California","53,208","53,142","52,988","52,207","51,722"
775,"Dunwoody city, Georgia","51,665","51,614","51,014","52,113","51,713"
776,"Columbus city, Indiana","50,496","50,500","50,793","51,179","51,522"
777,"Delano city, California","51,416","49,860","50,856","51,627","51,500"
778,"Middletown city, Ohio","50,990","51,025","51,053","51,216","51,478"
779,"La Crosse city, Wisconsin","52,687","52,673","51,000","51,376","51,327"
780,"Collierville town, Tennessee","51,326","51,333","51,248","51,348","51,317"
781,"Jeffersonville city, Indiana","49,454","49,566","50,418","51,025","51,235"
782,"Florissant city, Missouri","52,536","52,449","52,057","51,531","51,128"
783,"Harrisonburg city, Virginia","51,810","51,706","51,497","51,150","51,082"
