Rank,Geographic Area,"April 1, 2020Estimates Base",2020,2021,2022,Population 2023
86,"St. Petersburg city, Florida","258,354","259,266","259,578","261,722","263,553"
87,"Laredo city, Texas","255,208","255,489","255,665","256,027","257,602"
88,"Irving city, Texas","256,691","256,807","254,392","254,209","254,373"
89,"Chesapeake city, Virginia","249,369","249,781","251,763","252,459","253,886"
90,"Glendale city, Arizona","248,403","248,949","249,884","252,061","253,855"
91,"Winston-Salem city, North Carolina","249,558","249,804","251,042","251,746","252,975"
92,"Port St. Lucie city, Florida","204,855","206,815","217,864","231,852","245,021"
93,"Scottsdale city, Arizona","241,340","241,883","242,759","242,972","244,394"
94,"Garland city, Texas","246,121","246,311","244,290","245,795","243,470"
95,"Boise City city, Idaho","235,719","236,034","238,150","236,727","235,421"
96,"Norfolk city, Virginia","238,003","237,789","234,862","232,558","230,930"
97,"Spokane city, Washington","228,978","229,205","230,150","230,405","229,447"
98,"Richmond city, Virginia","226,548","226,936","227,140","228,367","229,247"
99,"Fremont city, California","230,494","230,430","227,953","226,305","226,208"
100,"Huntsville city, Alabama","215,120","216,407","218,778","222,030","225,564"
101,"Frisco city, Texas","200,537","202,754","211,102","219,641","225,007"
102,"Cape Coral city, Florida","193,994","195,422","204,023","216,915","224,455"
103,"Santa Clarita city, California","232,804","232,406","229,753","227,123","224,028"
104,"San Bernardino city, California","222,073","222,090","220,691","221,111","223,728"
105,"Tacoma city, Washington","219,185","219,719","219,652","221,731","222,906"
106,"Hialeah city, Florida","223,123","222,408","220,921","220,205","221,300"
107,"Baton Rouge city, Louisiana","226,916","226,264","224,048","221,244","219,573"
108,"Modesto city, California","218,487","218,691","218,827","218,344","218,915"
109,"Fontana city, California","208,402","209,177","212,489","214,317","215,465"
110,"McKinney city, Texas","195,329","197,497","203,479","207,603","213,509"
111,"Moreno Valley city, California","208,640","208,868","211,072","211,648","212,392"
112,"Des Moines city, Iowa","214,124","213,826","212,625","211,048","210,381"
113,"Fayetteville city, North Carolina","208,473","209,170","210,527","209,321","209,749"
114,"Salt Lake City city, Utah","199,708","200,660","201,125","207,677","209,593"
115,"Yonkers city, New York","211,584","210,994","210,075","208,406","207,657"
116,"Worcester city, Massachusetts","206,519","205,056","205,839","205,676","207,621"
117,"Rochester city, New York","211,314","210,862","210,581","208,546","207,274"
118,"Sioux Falls city, South Dakota","192,718","193,437","196,807","202,016","206,410"
119,"Little Rock city, Arkansas","202,564","202,634","202,229","203,176","203,842"
120,"Amarillo city, Texas","200,378","200,526","200,798","201,366","202,408"
121,"Tallahassee city, Florida","196,180","197,933","200,233","201,718","202,221"
122,"Grand Prairie city, Texas","196,139","196,255","197,345","201,539","202,134"
123,"Columbus city, Georgia","206,919","207,006","205,060","202,432","201,877"
124,"Augusta-Richmond County consolidated government (balance), Georgia","202,077","201,999","200,754","201,805","200,884"
125,"Peoria city, Arizona","190,991","191,997","194,981","197,786","198,750"
126,"Oxnard city, California","202,071","201,911","201,807","200,193","198,488"
127,"Knoxville city, Tennessee","190,682","191,446","192,718","196,748","198,162"
128,"Overland Park city, Kansas","197,249","197,734","197,610","197,705","197,089"
129,"Birmingham city, Alabama","200,657","200,375","197,875","196,887","196,644"
130,"Grand Rapids city, Michigan","198,890","198,707","197,708","197,192","196,608"
131,"Vancouver city, Washington","190,888","191,278","192,770","194,500","196,442"
132,"Montgomery city, Alabama","200,591","200,041","198,460","196,944","195,287"
133,"Huntington Beach city, California","198,721","198,405","196,427","194,195","192,129"
134,"Providence city, Rhode Island","190,931","190,745","190,169","189,567","190,792"
135,"Brownsville city, Texas","186,719","187,004","187,737","189,236","190,158"
136,"Tempe city, Arizona","184,213","185,328","184,690","189,520","189,834"
137,"Akron city, Ohio","190,418","190,146","188,619","188,472","188,701"
138,"Glendale city, California","196,523","195,934","192,153","189,175","187,050"
139,"Chattanooga city, Tennessee","181,057","181,568","181,167","184,038","187,030"
140,"Fort Lauderdale city, Florida","182,777","182,892","181,997","183,118","184,255"
141,"Newport News city, Virginia","186,245","186,047","184,691","183,980","183,118"
142,"Mobile city, Alabama","187,043","186,621","185,176","183,290","182,595"
143,"Ontario city, California","175,265","175,712","178,272","180,500","182,457"
144,"Clarksville city, Tennessee","166,742","167,509","170,824","176,747","180,716"
145,"Cary town, North Carolina","174,784","174,778","176,886","179,867","180,010"
146,"Elk Grove city, California","176,138","176,569","177,964","178,009","178,444"
147,"Shreveport city, Louisiana","187,601","186,848","183,269","180,086","177,959"
148,"Eugene city, Oregon","177,225","177,428","178,013","177,873","177,899"
149,"Aurora city, Illinois","180,530","180,215","179,397","177,931","177,563"
150,"Salem city, Oregon","175,478","175,942","178,171","177,523","177,432"
151,"Santa Rosa city, California","178,123","177,959","177,412","176,078","175,845"
152,"Rancho Cucamonga city, California","174,625","174,683","175,359","174,989","174,405"
153,"Pembroke Pines city, Florida","171,180","171,073","169,627","169,864","171,119"
154,"Fort Collins city, Colorado","169,826","169,982","169,279","170,114","170,376"
155,"Springfield city, Missouri","169,170","169,177","169,253","170,028","170,188"
156,"Oceanside city, California","174,059","173,965","172,916","171,408","170,020"
157,"Garden Grove city, California","171,980","171,863","170,741","169,398","168,234"
158,"Lancaster city, California","173,508","173,094","170,000","167,815","166,236"
159,"Murfreesboro city, Tennessee","152,784","153,757","156,671","162,402","165,430"
160,"Palmdale city, California","169,413","168,895","165,508","162,975","161,404"
161,"Corona city, California","157,155","157,468","159,433","159,803","160,238"
162,"Killeen city, Texas","153,143","153,735","157,018","159,231","159,643"
163,"Salinas city, California","163,540","163,391","162,894","160,720","159,506"
164,"Roseville city, California","147,791","148,516","152,575","155,940","159,135"
165,"Denton city, Texas","139,866","141,107","147,199","150,435","158,349"
